DEVELOPMENT,NUMBER OF UNITS,PRIMARY WORK TYPE,SECONDARY WORK TYPE,5 YEAR NEED ($),20 YEAR NEED ($)
1010 EAST 178TH STREET,220,Apartments,Apartment 504 Access,600000,600000
1010 EAST 178TH STREET,220,Apartments,Apartment Bathroom,11002463.92,11002463.92
1010 EAST 178TH STREET,220,Apartments,Apartment Entrance Doors,1435746.4,1435746.4
1010 EAST 178TH STREET,220,Apartments,Apartment Kitchen,8398420.05,8398420.05
1010 EAST 178TH STREET,220,Apartments,Apartment Renovation,16379448.78,17700568.58
1010 EAST 178TH STREET,220,Building Exterior/Facade/Window,Brickwork,3206434.93,3206434.93
1010 EAST 178TH STREET,220,Building Exterior/Facade/Window,Building Windows,6065577.32,6065577.32
1010 EAST 178TH STREET,220,Building Exterior/Facade/Window,Entrances/Exits,213160.63,213160.63
1010 EAST 178TH STREET,220,Building Exterior/Facade/Window,Foundations,4868.5,4868.5
1010 EAST 178TH STREET,220,Common Areas/Lobbies,Building Common Area Finishes ,1630445.06,1630445.06
1010 EAST 178TH STREET,220,Common Areas/Lobbies,Building Common Areas - Bathroom,625992.95,853626.75
1010 EAST 178TH STREET,220,Common Areas/Lobbies,Interior Building Doors,836324.9,836324.9
1010 EAST 178TH STREET,220,Common Areas/Lobbies,Interior Building Stairs,1254.85,1567713.63
1010 EAST 178TH STREET,220,Common Areas/Lobbies,Non Residential Kitchen,1282380.27,1282380.27
1010 EAST 178TH STREET,220,Elevators,Elevators,2926627.38,2926627.38
1010 EAST 178TH STREET,220,Fire Protection,Fire Sprinkler,0,0
1010 EAST 178TH STREET,220,Fire Protection,Standpipe System,40653.69,40653.69
1010 EAST 178TH STREET,220,Grounds,Building Exterior Walkways and Retaining Walls,72494.74,72494.74
1010 EAST 178TH STREET,220,Grounds,Lighting - Exterior Security,129144.84,129144.84
1010 EAST 178TH STREET,220,Grounds,Open Spaces,,2073276.75
1010 EAST 178TH STREET,220,Grounds,Parking Lot,1076845.05,1076845.05
1010 EAST 178TH STREET,220,Grounds,Paving - Non-Vehicular Area,1067776,1067776
1010 EAST 178TH STREET,220,Grounds,Playgrounds,227808,227808
1010 EAST 178TH STREET,220,Grounds,Site Fences,706269.9,706269.9
1010 EAST 178TH STREET,220,Grounds,Site Lighting,153807.5,153807.5
1010 EAST 178TH STREET,220,Grounds,Stairs / Ramps,9213.48,133364.6
1010 EAST 178TH STREET,220,Heating,Decarbonization,22583004.19,22583004.19
1010 EAST 178TH STREET,220,Interior Electrical/Lighting,Electrical System,152547.96,374711.24
1010 EAST 178TH STREET,220,Interior Electrical/Lighting,Emergency and Exit Lighting and Panels,29928.71,29928.71
1010 EAST 178TH STREET,220,Interior Electrical/Lighting,Interior Lighting Fixture,784422.14,784422.14
1010 EAST 178TH STREET,220,Interior Electrical/Lighting,Telephone/Intercom,,148224.96
1010 EAST 178TH STREET,220,Lead Based Paint,Lead Based Paint,1788478.8,1788478.8
1010 EAST 178TH STREET,220,Plumbing,Building Drainage,14688.24,14688.24
1010 EAST 178TH STREET,220,Plumbing,Non Residential Spaces Plumbing Fixtures,5058.33,5058.33
1010 EAST 178TH STREET,220,Plumbing,Roof Tank,1138364.78,1138364.78
1010 EAST 178TH STREET,220,Plumbing,Underground Hydronic Piping,,111585.5
1010 EAST 178TH STREET,220,Plumbing,Underground Natural Gas Piping,,27728.4
1010 EAST 178TH STREET,220,Roofs,Building Roof/Parapets/Misc,2227074.74,2227074.74
1010 EAST 178TH STREET,220,Safety And Security,Additional Security,1268815.8,1268815.8
1010 EAST 178TH STREET,220,Safety And Security,CCTV,,280561.96
1010 EAST 178TH STREET,220,Safety And Security,Intrusion Alarm,107323.29,214646.58
1010 EAST 178TH STREET,220,Ventilation/Air Conditioning,Air Conditioning,104706.96,104706.96
1010 EAST 178TH STREET,220,Ventilation/Air Conditioning,Exhaust Fan,2410.77,2410.77
1010 EAST 178TH STREET,220,Waste Management,Waste Infrastructure,2032802.08,2032802.08
104-14 TAPSCOTT STREET,30,Apartments,Apartment 504 Access,200000,200000
104-14 TAPSCOTT STREET,30,Apartments,Apartment Bathroom,1386865.2,1386865.2
104-14 TAPSCOTT STREET,30,Apartments,Apartment Entrance Doors,195783.6,195783.6
104-14 TAPSCOTT STREET,30,Apartments,Apartment Kitchen,1150468.5,1150468.5
104-14 TAPSCOTT STREET,30,Apartments,Apartment Renovation,3029152.58,3157584.02
104-14 TAPSCOTT STREET,30,Building Exterior/Facade/Window,Brickwork,161502,161502
104-14 TAPSCOTT STREET,30,Building Exterior/Facade/Window,Building Windows,1476684.78,1476684.78
104-14 TAPSCOTT STREET,30,Building Exterior/Facade/Window,Entrances/Exits,78054.78,78054.78
104-14 TAPSCOTT STREET,30,Building Exterior/Facade/Window,Fire Escapes,,1045632.24
104-14 TAPSCOTT STREET,30,Building Exterior/Facade/Window,Foundations,17539,17539
104-14 TAPSCOTT STREET,30,Common Areas/Lobbies,Building Common Area Finishes ,279596.74,279596.74
104-14 TAPSCOTT STREET,30,Common Areas/Lobbies,Building Common Areas - Bathroom,,113816.9
104-14 TAPSCOTT STREET,30,Common Areas/Lobbies,Interior Building Doors,201319.95,201319.95
104-14 TAPSCOTT STREET,30,Common Areas/Lobbies,Interior Building Stairs,,751900.22
104-14 TAPSCOTT STREET,30,Common Areas/Lobbies,Non Residential Kitchen,422090.02,422090.02
104-14 TAPSCOTT STREET,30,Grounds,Lighting - Exterior Security,158495.94,158495.94
104-14 TAPSCOTT STREET,30,Grounds,Open Spaces,,0
104-14 TAPSCOTT STREET,30,Grounds,Paving - Non-Vehicular Area,114702.5,114702.5
104-14 TAPSCOTT STREET,30,Grounds,Site Fences,67263.8,67263.8
104-14 TAPSCOTT STREET,30,Grounds,Site Walls (Not Retaining Walls),3335.4,3335.4
104-14 TAPSCOTT STREET,30,Grounds,Stairs / Ramps,23434.9,23434.9
104-14 TAPSCOTT STREET,30,Heating,Common Spaces Radiator / Convector / Baseboard,,60210.43
104-14 TAPSCOTT STREET,30,Heating,Decarbonization,2307955.87,2307955.87
104-14 TAPSCOTT STREET,30,Interior Electrical/Lighting,Electrical System,375723.22,862528.08
104-14 TAPSCOTT STREET,30,Interior Electrical/Lighting,Emergency and Exit Lighting and Panels,10051.02,10051.02
104-14 TAPSCOTT STREET,30,Interior Electrical/Lighting,Interior Lighting Fixture,202264.64,202264.64
104-14 TAPSCOTT STREET,30,Lead Based Paint,Lead Based Paint,215551.8,215551.8
104-14 TAPSCOTT STREET,30,Plumbing,Building Sewage System,78733.84,78733.84
104-14 TAPSCOTT STREET,30,Plumbing,Non Residential Spaces Plumbing Fixtures,0,0
104-14 TAPSCOTT STREET,30,Roofs,Building Roof/Parapets/Misc,2709762.58,2738952.2
104-14 TAPSCOTT STREET,30,Safety And Security,Additional Security,875149.8,875149.8
104-14 TAPSCOTT STREET,30,Waste Management,Waste Infrastructure,84940.69,84940.69
1162-1176 WASHINGTON AVENUE,66,Apartments,Apartment 504 Access,200000,200000
1162-1176 WASHINGTON AVENUE,66,Apartments,Apartment Bathroom,3051103.44,3051103.44
1162-1176 WASHINGTON AVENUE,66,Apartments,Apartment Entrance Doors,430723.92,430723.92
1162-1176 WASHINGTON AVENUE,66,Apartments,Apartment Kitchen,2531030.7,2531030.7
1162-1176 WASHINGTON AVENUE,66,Apartments,Apartment Renovation,7039810.68,7707109.54
1162-1176 WASHINGTON AVENUE,66,Building Exterior/Facade/Window,Brickwork,,400000
1162-1176 WASHINGTON AVENUE,66,Building Exterior/Facade/Window,Entrances/Exits,180969.7,180969.7
