development,x_need_20,cap_per_unit,BOROUGH,total_number_of_apartments,layer,long,lat,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt,cap_rank,cap_unit_rank
WAGNER,1322965600.17,611917.4838899168,MANHATTAN,2162,NYCHA,-73.93210245056471,40.7996925644052,Heating,428929032.18,Apartments,419474428.55,Building Exterior/Facade/Window,179434423.47,1,21
RAVENSWOOD,1154963579.06,533224.1823915051,QUEENS,2166,NYCHA,-73.93545872460469,40.761285241668986,Apartments,401939564.04,Heating,185239950.70000002,Building Exterior/Facade/Window,161969624.15,2,63
EDENWALD,1119292625.9,548941.9450220697,BRONX,2039,PACT,-73.84514591105803,40.88581744498474,Apartments,412294194.93,Heating,174721531.04,Plumbing,133040036.22,3,50
POMONOK,1094723758.93,528596.6967310478,QUEENS,2071,NYCHA,-73.81266951682342,40.733408043889284,Apartments,359018681.04,Plumbing,245471688.17999998,Heating,164953134.12,4,69
MARCY,1071881845.1,624275.9726849155,BROOKLYN,1717,NYCHA,-73.95132745139489,40.697613010625965,Apartments,264416927.72,Plumbing,192319313.29,Heating,189120699.93,5,16
BREUKELEN,998475334.26,626003.3443636363,BROOKLYN,1595,NYCHA,-73.8944170836516,40.650966135534475,Apartments,293928552.81,Plumbing,132539410.03,Heating,127077510.9,6,15
WALD,958277135.48,514925.91911875334,MANHATTAN,1861,NYCHA,-73.97638639819723,40.7206986979863,Apartments,341190102.42,Heating,192784269.7,Building Exterior/Facade/Window,135644701.01000002,7,85
MARLBORO,950352060.35,538443.0936827195,BROOKLYN,1765,NYCHA,-73.98100489687054,40.59188009409456,Apartments,332670436.32,Heating,159789888.4,Plumbing,151055010.72,8,56
WHITMAN,933894048.14,562925.8879686558,BROOKLYN,1659,NYCHA,-73.9750555854454,40.69453709237827,Apartments,268835624.48,Plumbing,194340194.42,Heating,122167298.71000001,9,41
INGERSOLL,917327640.07,498547.63047282613,BROOKLYN,1840,NYCHA,-73.9799006960096,40.69512332921818,Apartments,319899097.05,Building Exterior/Facade/Window,124396396.11,Plumbing,121577054.17,10,100
GRANT,914162060.67,471217.5570463917,MANHATTAN,1940,NYCHA,-73.95694850836102,40.812742470866006,Apartments,399269180.84,Heating,151258031.37,Plumbing,111162439.14999999,11,139
JEFFERSON,895653639.26,599901.9686939049,MANHATTAN,1493,NYCHA,-73.9388352770136,40.79539165144173,Apartments,293961321.75,Heating,191306858.24,Plumbing,109596734.81,12,25
QUEENSBRIDGE SOUTH,853545926.4699999,532135.864382793,QUEENS,1604,NYCHA,-73.94665865141597,40.75513829144088,Apartments,253917478.17999998,Heating,171249433.41,Plumbing,115590064.1,13,64
SOTOMAYOR HOUSES,841624731.34,562207.5693653974,BRONX,1497,NYCHA,-73.86699447839506,40.82647287570771,Apartments,307571917.57,Heating,132802210.74000001,Building Exterior/Facade/Window,73361679.05,14,42
CASTLE HILL,835708766.98,412695.6873975309,BRONX,2025,NYCHA,-73.84814284629282,40.81876573722927,Apartments,323702985.61,Heating,131461406.56,Building Exterior/Facade/Window,122355416.25,15,215
SMITH,804062823.23,415536.342754522,MANHATTAN,1935,NYCHA,-73.99869426146039,40.71035435213262,Apartments,370159600.2,Heating,159275940.73,Plumbing,66995358.92,16,209
BARUCH,801318732.24,365231.87431175937,MANHATTAN,2194,NYCHA,-73.97778853690212,40.71744930263594,Apartments,363846292.88,Building Exterior/Facade/Window,140052838.79,Heating,67189061.02,17,247
WOODSIDE,800405515.58,589834.5730140015,QUEENS,1357,NYCHA,-73.9099433021618,40.75563370862132,Apartments,238921395.48000002,Building Exterior/Facade/Window,119006484.51,Heating,108103578.9,18,29
QUEENSBRIDGE NORTH,793750572.23,514420.33197018795,QUEENS,1543,NYCHA,-73.9442545963525,40.75589331423866,Apartments,228065171.39,Heating,172292996.3,Plumbing,113323107.41,19,87
THROGGS NECK,782727693.85,660529.6994514768,BRONX,1185,NYCHA,-73.82383052416102,40.82172005261137,Apartments,238282404.55,Heating,130187563.5,Plumbing,83998656.16,20,12
KING TOWERS,780164645.86,565746.6612472807,MANHATTAN,1379,NYCHA,-73.94917948706956,40.79970375586766,Heating,275423481.01,Apartments,223720580.18,Building Exterior/Facade/Window,88993804.74,21,39
