development,x_need_20,total_number_of_apartments,cap_per_unit,cat_1,cat_1_amt,cat_2,cat_2_amt,cat_3,cat_3_amt
1010 EAST 178TH STREET,96543013.57,220,438831.87986363634,Apartments,39137198.949999996,Heating,22583004.19,Building Exterior/Facade/Window,9490041.38
104-14 TAPSCOTT STREET,18442408.86,30,614746.9619999999,Apartments,6090701.32,Building Exterior/Facade/Window,2779412.8,Roofs,2738952.2
1162-1176 WASHINGTON AVENUE,31707535.599999998,66,480417.20606060605,Apartments,13919967.6,Heating,7730771,Common Areas/Lobbies,2226295.37
131 SAINT NICHOLAS AVENUE,45575012.05,100,455750.12049999996,Apartments,17805837.97,Heating,6992509.6,Building Exterior/Facade/Window,6613462.47
1471 WATSON AVENUE,41387387.04,96,431118.615,Apartments,18993225.02,Heating,6255598.82,Building Exterior/Facade/Window,4059665.14
154 WEST 84TH STREET,18152327.43,35,518637.92657142854,Apartments,6745517.07,Building Exterior/Facade/Window,3462557.19,Heating,1877380.81
303 VERNON AVENUE,91191476.71,234,389707.1654273504,Apartments,38139159.91,Heating,16563972.09,Building Exterior/Facade/Window,12729543.110000001
45 ALLEN STREET,56812480.449999996,107,530957.7612149533,Apartments,23220023.99,Building Exterior/Facade/Window,10182053.1,Heating,7521714.1
830 AMSTERDAM AVENUE,75856543.08,159,477085.17660377355,Apartments,31449528.61,Heating,17160192.95,Building Exterior/Facade/Window,8642058.35
ADAMS,415113014.33,925,448770.8263027027,Apartments,166996194.76999998,Heating,95822380.16,Building Exterior/Facade/Window,56150596.89
ALBANY,413641865.76,829,498964.8561640531,Apartments,135698841,Heating,101411454.6,Plumbing,50984281.21
ALBANY II,172910876.06,400,432277.19015,Apartments,64037258.93,Plumbing,23584489.34,Heating,22105584.05
AMSTERDAM,539820244.47,1084,497989.15541512915,Apartments,204995970,Building Exterior/Facade/Window,85301133.63000001,Plumbing,70321622.36
AMSTERDAM ADDITION,81126434.44,175,463579.62537142856,Apartments,34055744.92,Heating,12987742.06,Common Areas/Lobbies,9210612.34
ASTORIA,617983827.18,1104,559767.9594021739,Apartments,227417223.54,Plumbing,104907051.08,Heating,81779669.86999999
ATLANTIC TERMINAL SITE 4B,108392419.82,300,361308.0660666666,Apartments,55198611.61,Heating,22055537.709999997,Common Areas/Lobbies,9348532.629999999
BAILEY AVENUE-WEST 193RD STREET,114413039.18,233,491043.0866094421,Apartments,41480584.84,Heating,24136880.63,Grounds,17255907.64
BAISLEY PARK,203740183.47,386,527824.309507772,Apartments,69658610.66,Heating,39468461.45,Building Exterior/Facade/Window,30443139.060000002
BARUCH,801318732.24,2194,365231.87431175937,Apartments,363846292.88,Building Exterior/Facade/Window,140052838.79,Heating,67189061.02
BARUCH HOUSES ADDITION,66743031.28,197,338797.11309644673,Apartments,28300882.75,Heating,13985647.66,Building Exterior/Facade/Window,7051660.85
BAY VIEW,665420447.71,1610,413304.62590683234,Apartments,314074216.6,Heating,146528704.08,Common Areas/Lobbies,42337092.64
BEACH 41ST STREET-BEACH CHANNEL DRIVE,337981033.57,712,474692.46287921345,Apartments,143610752.68,Heating,71641871.31,Building Exterior/Facade/Window,35725332.23
BEDFORD-STUYVESANT REHAB,57540270.26,85,676944.356,Apartments,18838294.41,Building Exterior/Facade/Window,14746073.629999999,Heating,5579524.56
BERRY,271400852.29,506,536365.3207312253,Apartments,92615035.92,Building Exterior/Facade/Window,37088923.55,Heating,26642354.02
BLAND,244923111.98,400,612307.77995,Apartments,71651822.5,Heating,41333113.17,Building Exterior/Facade/Window,34686923.61
BORINQUEN PLAZA I,252317278.76000002,509,495711.7460903733,Apartments,107122755.18,Heating,42267198.4,Building Exterior/Facade/Window,32235951.14
BORINQUEN PLAZA II,245559617.99,425,577787.3364470588,Apartments,101263872.17,Heating,48725545.129999995,Building Exterior/Facade/Window,28836074.47
BOSTON ROAD PLAZA,86301458.38,235,367240.2484255319,Apartments,35966928.26,Heating,24138436.259999998,Common Areas/Lobbies,7118131.92
BOSTON SECOR,245330412.54,538,456004.4842750929,Apartments,96499222.91,Heating,55733201.21,Building Exterior/Facade/Window,33958761.67
BOYNTON AVENUE REHAB,39286675.95,82,479105.80426829273,Apartments,17837312.12,Building Exterior/Facade/Window,6910272.14,Heating,3828909.3600000003
BRACETTI PLAZA,49851906.11,108,461591.7232407407,Apartments,22095192.56,Elevators,5853254.76,Heating,5178177.140000001
BREUKELEN,998475334.26,1595,626003.3443636363,Apartments,293928552.81,Plumbing,132539410.03,Heating,127077510.9
BREVOORT,524433741.46999997,896,585305.5150334821,Apartments,178757218.1,Building Exterior/Facade/Window,71949689.42,Heating,62605727.83
BRONX RIVER,592830365.08,1246,475786.8098555378,Apartments,244834549.03,Heating,82533300.95,Building Exterior/Facade/Window,62481823.1
