development_name,borough,development_acc_unit_count,inspection_date,raw_score,h_s_score,smoke_detectors,reac_date_2,second_score,second_h_s_score,second_smoke_detectors,reac_date_3,third_score,third_h_s_score,third_smoke_detectors,latitude,longitude
Red Hook I (East),Brooklyn,1408,2022-11-02T00:00:00Z,23,C,Yes,2018-09-17T00:00:00Z,76,C,Yes,2015-11-17T00:00:00Z,72,,No,40.67417,-74.00274
Queensbridge,Long Island City,1586,2022-11-30T00:00:00Z,8,C,No,2022-11-30T00:00:00Z,8,C,No,2019-09-16T00:00:00Z,21,C,Yes,40.754407,-73.94584
Ingersoll,Brooklyn,1720,2022-09-19T00:00:00Z,35,C,No,2019-02-11T00:00:00Z,21,,No,2017-02-06T00:00:00Z,83,,No,40.695944,-73.979205
Brownsville,Brooklyn,1325,2022-10-19T00:00:00Z,18,C,No,2019-02-11T00:00:00Z,47,C,Yes,2017-02-01T00:00:00Z,89,,No,40.665851,-73.909139
J.W. Johnson,New York,1310,2022-06-23T00:00:00Z,43,C,No,2018-10-01T00:00:00Z,35,,No,2017-02-06T00:00:00Z,69,,No,40.79662,-73.94255
Lincoln,Manhattan,1285,2022-10-18T00:00:00Z,34,C,Yes,2019-07-15T00:00:00Z,51,C,Yes,2017-01-23T00:00:00Z,61,,No,40.811874,-73.936037
Marcy,Brooklyn,1709,2022-11-09T00:00:00Z,53,C,Yes,2019-01-30T00:00:00Z,78,C,Yes,2017-06-27T00:00:00Z,83,,No,40.696396,-73.949592
Wald,Manhattan,1861,2022-12-21T00:00:00Z,24,C,No,2019-07-29T00:00:00Z,10,C,Yes,2017-01-24T00:00:00Z,69,,No,40.721057,-73.977311
Lester W. Patterson,Bronx,1789,2022-11-14T00:00:00Z,56,C,Yes,2018-08-06T00:00:00Z,75,B,No,2017-03-07T00:00:00Z,72,,No,40.81478,-73.9236
Gowanus,Brooklyn,1136,2022-10-06T00:00:00Z,12,C,No,2019-02-11T00:00:00Z,72,C,Yes,2017-01-09T00:00:00Z,80,,No,40.68434,-73.98822
Astoria,Astoria,1102,2022-12-08T00:00:00Z,25,C,No,2019-09-16T00:00:00Z,70,C,Yes,2016-11-07T00:00:00Z,69,,No,40.774854,-73.934173
Governor Smith,New York,1935,2022-12-20T00:00:00Z,33,C,Yes,2019-08-05T00:00:00Z,23,C,Yes,2015-11-10T00:00:00Z,86,,No,40.713028,-73.997205
Farragut,Brooklyn,1390,2022-09-13T00:00:00Z,46,C,No,2018-09-04T00:00:00Z,64,,No,2016-11-28T00:00:00Z,59,,No,40.69903,-73.981701
Woodside,Woodside,1357,2023-02-06T00:00:00Z,26,C,Yes,2019-08-26T00:00:00Z,40,C,Yes,2016-11-14T00:00:00Z,76,,No,40.754618,-73.910341
Ralph J. Rangel,New York,984,2023-03-03T00:00:00Z,9,C,No,2019-07-15T00:00:00Z,69,C,Yes,2015-11-16T00:00:00Z,84,,No,40.824699,-73.938698
St Nicholas,New York,1523,2022-11-21T00:00:00Z,60,C,Yes,2019-09-09T00:00:00Z,69,C,Yes,2016-12-05T00:00:00Z,79,,No,40.81181,-73.948
Dyckman,New York,1167,2023-02-27T00:00:00Z,19,C,No,2019-07-22T00:00:00Z,26,C,Yes,2016-11-30T00:00:00Z,75,,No,40.85968,-73.92306
Glenwood,Brooklyn,1188,2022-11-21T00:00:00Z,28,C,No,2018-07-17T00:00:00Z,72,C,No,2017-01-19T00:00:00Z,79,,No,40.633627,-73.922448
Ravenswood,Astoria,2166,2022-12-13T00:00:00Z,24,C,No,2019-07-08T00:00:00Z,20,C,Yes,2016-11-29T00:00:00Z,74,,No,40.760374,-73.936484
